Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1000,議会費,1001,"1,169,163,000",2014
総務費,1100,総務管理費,1101,"9,157,457,000",2014
総務費,1100,企画費,1102,"10,534,317,000",2014
総務費,1100,徴税費,1103,"4,533,721,000",2014
総務費,1100,市町村振興費,1104,"1,013,819,000",2014
総務費,1100,選挙費,1105,"225,759,000",2014
総務費,1100,防災費,1106,"1,257,106,000",2014
総務費,1100,統計調査費,1107,"466,387,000",2014
総務費,1100,人事委員会費,1108,"139,883,000",2014
総務費,1100,監査委員費,1109,"206,689,000",2014
福祉生活費,1200,社会福祉費,1201,"42,464,953,000",2014
福祉生活費,1200,児童福祉費,1202,"16,917,461,000",2014
福祉生活費,1200,生活保護費,1203,"1,776,767,000",2014
福祉生活費,1200,災害救助費,1204,"36,055,000",2014
保健環境費,1300,公衆衛生費,1301,"22,402,486,000",2014
保健環境費,1300,環境保全費,1302,"1,872,032,000",2014
保健環境費,1300,保健所費,1303,"1,890,321,000",2014
保健環境費,1300,医務費,1304,"3,627,708,000",2014
保健環境費,1300,薬務生活衛生費,1305,"482,901,000",2014
労働費,1400,労政費,1401,"140,720,000",2014
労働費,1400,職業訓練費,1402,"1,583,280,000",2014
労働費,1400,雇用対策費,1403,"2,396,964,000",2014
労働費,1400,労働委員会費,1404,"98,350,000",2014
農林水産業費,1500,農業費,1501,"10,111,447,000",2014
農林水産業費,1500,畜産業費,1502,"2,712,186,000",2014
農林水産業費,1500,農地費,1503,"15,969,053,000",2014
農林水産業費,1500,林業費,1504,"14,590,712,000",2014
農林水産業費,1500,水産業費,1505,"5,999,483,000",2014
商工費,1600,中小企業費,1601,"44,103,334,000",2014
商工費,1600,工鉱業費,1602,"6,039,654,000",2014
商工費,1600,観光費,1603,"561,399,000",2014
土木費,1700,土木管理費,1701,"6,043,528,000",2014
土木費,1700,道路橋梁費,1702,"41,664,797,000",2014
土木費,1700,河川海岸費,1703,"19,303,636,000",2014
土木費,1700,港湾費,1704,"3,785,331,000",2014
土木費,1700,都市計画費,1705,"6,524,178,000",2014
土木費,1700,住宅費,1706,"1,265,492,000",2014
警察費,1800,警察管理費,1801,"25,653,628,000",2014
警察費,1800,警察活動費,1802,"1,060,911,000",2014
教育費,1900,教育総務費,1901,"13,458,113,000",2014
教育費,1900,小学校費,1902,"42,049,697,000",2014
教育費,1900,中学校費,1903,"24,559,649,000",2014
教育費,1900,高等学校費,1904,"26,694,514,000",2014
教育費,1900,特別支援教育費,1905,"9,882,756,000",2014
教育費,1900,大学費,1906,"1,101,114,000",2014
教育費,1900,社会教育費,1907,"2,033,704,000",2014
教育費,1900,保健体育費,1908,"1,016,114,000",2014
特別会計,2000,公債管理,2001,"125,237,864,000",2014
特別会計,2000,母子寡婦福祉資金,2002,"92,408,000",2014
特別会計,2000,中小企業設備導入資金,2003,"293,140,000",2014
特別会計,2000,流通業務団地造成事業,2004,"1,236,607,000",2014
特別会計,2000,林業・木材産業改善資金,2005,"1,009,075,000",2014
特別会計,2000,沿岸漁業改善資金,2006,"202,024,000",2014
特別会計,2000,就農支援資金,2007,"60,607,000",2014
特別会計,2000,県営林事業,2008,"432,357,000",2014
特別会計,2000,臨海工業地帯建設事業,2009,"1,410,610,000",2014
特別会計,2000,港湾施設整備事業,2010,"1,760,699,000",2014
特別会計,2000,用品調達,2011,"2,510,800,000",2014
